id;date;description;amount
1;2019-06-20T18:44:22;National Awesome sky blue;4522
2;2019-06-20T10:01:16;navigating;74732
3;2019-06-21T02:34:36;generating compelling;28093
4;2019-06-20T18:31:13;bifurcated scalable;16526
5;2019-06-21T07:17:59;Administrator;77224
6;2019-06-20T23:36:43;24 hour;1407
7;2019-06-20T13:31:05;monitor;72900
8;2019-06-20T14:07:30;Checking Account Identity deposit;91495
9;2019-06-20T12:22:29;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-20T17:06:25;New York tangible Mississippi;38292
