id;name;balance
1;which coagulate;5188.31
2;for uncommon;5768.89
3;adventurously;8368.43
4;whoa via dereference;21234.63
5;usefully yuck;23650.3
6;gloomy;14818.69
7;state what well-groomed;13181.6
8;requite synergy cheerfully;32492.7
9;redact;11299.16
10;psst hmph pulverize;21249.24
11;how fruitful;31403.61
12;if ah cautiously;22230.57
13;but flood;32226.99
14;without ha stable;21444.78
15;mindless cap;8855.94
16;after vacantly acclaimed;7143.45
17;through instead till;29953.6
18;amongst babyish than;4390.55
19;acknowledge from depart;4363.27
20;from how plus;2545.4
21;suburban badly;18556.91
22;midst another;11712.62
23;even;21350.19
24;tenderly poppy interestingly;14846
25;pulverize dash;23309.07
26;impact trick frail;14781.41
27;thread huzzah near;23288.93
28;overtrain likely;7339.88
29;scruple hmph;2667.26
30;tightly midwife;6878.57
