id;label
1;but personal truthfully
2;vice
3;if lazily
4;good-natured concerning
5;never sans woot
6;viciously which thrifty
7;justly frightened ugh
8;quaintly what
9;helpfully amidst
10;queasily uh-huh
11;vulgarise qua
12;past digestive legal
13;acquaintance mathematics
14;suckle antagonize
15;aftermath rigidly
16;inasmuch
17;atop sympathetically
18;boohoo
19;upwardly untried
20;drat quash
21;yesterday except
22;yet who
23;unto
24;psst upwardly
25;where nocturnal despite
26;afterwards
27;beyond
28;serve hm
29;wasteful
30;huzzah
