id;date;description;amount
1;2019-07-31T17:11:24;National Awesome sky blue;4522
2;2019-07-31T08:28:17;navigating;74732
3;2019-08-01T01:01:37;generating compelling;28093
4;2019-07-31T16:58:14;bifurcated scalable;16526
5;2019-08-01T05:45:00;Administrator;77224
6;2019-07-31T22:03:44;24 hour;1407
7;2019-07-31T11:58:06;monitor;72900
8;2019-07-31T12:34:31;Checking Account Identity deposit;91495
9;2019-07-31T10:49:30;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-07-31T15:33:26;New York tangible Mississippi;38292
